shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,snr,luminosity_distance,chi_eff,chirp_mass_source,redshift
GW200216_220804-v1,1265926102.8,51.0,30.0,81.0,78.0,8.1,3800.0,0.1,32.9,0.63
GW200219_094415-v1,1266140673.1,37.5,27.9,65.0,62.2,10.7,3400.0,-0.08,27.6,0.57
GW200220_061928-v1,1266214786.7,87.0,61.0,148.0,141.0,7.2,6000.0,0.06,62.0,0.9
GW200220_124850-v1,1266238148.1,38.9,27.9,67.0,64.0,8.5,4000.0,-0.07,28.2,0.66
GW200224_222234-v1,1266618172.4,40.0,32.7,72.3,68.7,20.0,1710.0,0.1,31.1,0.32
GW200225_060421-v1,1266645879.3,19.3,14.0,33.5,32.1,12.5,1150.0,-0.12,14.2,0.22
GW200302_015811-v1,1267149509.5,37.8,20.0,57.8,55.5,10.8,1480.0,0.01,23.4,0.28
GW200306_093714-v1,1267522652.1,28.3,14.8,43.9,41.7,7.8,2100.0,0.32,17.5,0.38
GW200308_173609-v1,1267724187.7,60.0,24.0,92.0,88.0,4.7,7100.0,0.16,34.0,1.04
GW200311_115853-v1,1267963151.3,34.2,27.7,61.9,59.0,17.8,1170.0,-0.02,26.6,0.23
GW200316_215756-v1,1268431094.1,13.1,7.8,21.2,20.2,10.3,1120.0,0.13,8.75,0.22
GW200322_091133-v1,1268903511.3,38.0,11.3,50.0,48.0,4.5,3500.0,0.27,15.0,0.59
GW230517_044807-v1,1368334105.4,,,,,11.8,,,,
GW230518_125908-v2,1368449966.2,8.17,1.45,9.61,,14.1,236.0,-0.01,2.8,0.05
GW230528_145129-v1,1369320707.7,,,,,8.8,,,,
GW230529_181500-v3,1369419318.7,3.66,1.42,5.08,,11.8,203.0,-0.1,1.94,0.04
GW230531_141100-v2,1369577478.3,,,,,8.0,,,,
GW230601_224134-v2,1369694512.1,64.0,44.0,107.0,102.0,13.4,3700.0,-0.03,45.1,0.6
GW230603_174756-v2,1369849694.9,,,,,8.0,,,,
GW230605_065343-v2,1369983241.5,17.4,11.0,28.6,27.3,11.4,1060.0,0.06,11.95,0.21
GW230606_004305-v2,1370047403.8,37.6,25.7,63.4,60.8,11.1,2800.0,-0.11,26.5,0.48
GW230606_024545-v2,1370054763.5,,,,,7.5,,,,
GW230606_065320-v1,1370069618.1,,,,,12.6,,,,
GW230608_205047-v2,1370292665.2,48.0,31.0,79.0,75.0,10.2,3500.0,0.04,32.7,0.58
GW230609_010824-v2,1370308122.4,,,,,8.0,,,,
GW230609_064958-v2,1370328616.3,35.4,25.2,60.5,58.0,10.6,3400.0,-0.14,25.6,0.56
GW230610_061439-v1,1370412897.4,,,,,8.3,,,,
GW230615_160825-v2,1370880524.0,,,,,8.9,,,,
GW230618_102550-v2,1371119168.0,,,,,7.8,,,,
GW230624_113103-v2,1371641481.7,27.1,16.1,43.7,41.7,11.4,1930.0,0.17,18.0,0.35
GW230624_214944-v2,1371678602.5,,,,,10.6,,,,
GW230625_211655-v2,1371763033.0,,,,,8.1,,,,
GW230627_015337-v2,1371866035.8,8.4,5.74,14.22,13.57,28.7,305.0,0.02,6.02,0.07
GW230628_231200-v2,1372029138.4,32.5,27.0,59.2,56.4,16.4,2260.0,-0.01,25.5,0.4
GW230630_070659-v2,1372144037.0,,,,,9.8,,,,
GW230630_125806-v2,1372165104.9,51.0,33.0,84.0,80.0,9.0,5400.0,0.18,35.0,0.83
GW230630_234532-v2,1372203950.4,10.0,6.6,16.8,16.1,9.9,1090.0,-0.04,7.06,0.21
GW230702_162025-v2,1372350043.9,,,,,9.2,,,,
GW230702_185453-v2,1372359311.7,40.0,18.0,60.0,57.0,10.1,2500.0,0.05,22.9,0.44
GW230704_021211-v2,1372471949.2,32.6,20.0,53.0,50.7,9.4,2700.0,-0.01,21.9,0.47
GW230704_212616-v2,1372541194.7,89.0,50.0,139.0,132.0,8.7,7300.0,0.27,56.0,1.06
GW230706_104333-v2,1372675431.2,16.3,11.5,28.0,26.6,9.2,1910.0,0.19,11.8,0.35
GW230707_124047-v2,1372768865.3,46.1,36.3,82.0,78.0,11.9,4400.0,-0.05,35.1,0.71
GW230708_053705-v2,1372829843.1,29.1,22.7,51.9,49.4,8.9,3300.0,0.06,22.2,0.55
GW230708_071859-v2,1372835957.4,,,,,9.1,,,,
GW230708_230935-v2,1372892993.5,64.0,40.0,103.0,99.0,10.0,3500.0,0.01,42.6,0.59
GW230709_063445-v2,1372919703.1,,,,,7.9,,,,
GW230709_122727-v2,1372940865.2,45.0,30.0,74.0,71.0,10.2,4700.0,0.08,30.9,0.74
GW230712_090405-v2,1373187863.9,32.0,12.5,46.0,44.0,9.5,2000.0,-0.02,16.2,0.37
GW230717_102139-v2,1373624517.1,,,,,8.3,,,,
GW230721_222634-v2,1374013612.8,,,,,7.9,,,,
GW230723_084820-v2,1374137318.4,,,,,8.4,,,,
GW230723_101834-v2,1374142732.4,16.6,10.6,27.5,26.4,10.1,1610.0,-0.18,11.4,0.3
GW230726_002940-v2,1374366598.1,35.6,27.9,63.6,60.6,10.5,2100.0,-0.02,27.2,0.37
GW230728_083628-v2,1374568606.9,,,,,13.1,,,,
GW230729_082317-v2,1374654215.2,12.3,7.6,20.3,19.3,9.5,1640.0,0.12,8.34,0.31
GW230731_215307-v2,1374875605.9,10.3,7.9,18.3,17.4,12.2,1100.0,-0.05,7.78,0.22
GW230803_033412-v2,1375068870.4,44.0,29.0,73.0,70.0,9.4,5000.0,0.07,30.5,0.78
GW230805_034249-v2,1375242188.0,32.2,22.6,54.9,52.4,9.5,3500.0,0.06,23.1,0.58
GW230806_204041-v2,1375389659.9,51.0,35.0,86.0,82.0,9.4,5500.0,0.08,35.9,0.84
GW230807_205045-v2,1375476663.4,,,,,8.1,,,,
GW230811_032116-v2,1375759294.3,35.4,22.3,57.9,55.3,13.6,2100.0,0.03,24.1,0.38
GW230814_061920-v2,1376029178.5,69.0,42.0,111.0,106.0,11.2,4000.0,0.07,46.0,0.64
GW230814_230901-v3,1376089759.8,33.7,28.2,61.9,59.0,43.0,290.0,-0.01,26.78,0.06
GW230817_212349-v2,1376342647.1,,,,,7.8,,,,
GW230819_171910-v2,1376500768.4,70.0,35.0,106.0,102.0,9.9,4100.0,-0.04,42.0,0.66
GW230820_212515-v2,1376601934.0,62.0,34.0,96.0,92.0,9.3,4000.0,0.21,38.5,0.65
GW230822_230337-v2,1376780635.5,,,,,8.3,,,,
GW230823_142524-v2,1376835942.6,,,,,8.8,,,,
GW230824_033047-v2,1376883065.7,53.0,36.0,88.0,84.0,11.1,4700.0,-0.01,36.9,0.74
GW230824_135331-v2,1376920429.9,,,,,9.7,,,,
GW230825_041334-v2,1376972032.5,44.0,27.2,71.0,67.0,8.8,4900.0,0.29,29.5,0.76
GW230830_064744-v2,1377413282.2,,,,,8.5,,,,
GW230831_015414-v2,1377482072.1,42.0,30.0,73.0,69.0,8.6,4900.0,0.04,30.7,0.77
GW230831_134621-v2,1377524799.7,,,,,8.8,,,,
GW230902_122814-v2,1377692912.9,,,,,8.1,,,,
GW230902_150325-v1,1377702223.2,,,,,7.8,,,,
GW230902_172430-v2,1377710688.8,,,,,8.5,,,,
GW230902_224555-v2,1377729973.7,,,,,7.5,,,,
